id,prediction,label,化学式,包含元素,Ea
560189,0.994754791,1,NaLi2BO3,"B, Li, Na, O",0.46875
6787,0.775222898,1,RbLiB4O7,"B, Li, O, Rb",0.95703125
1113703,0.996855855,1,Rb2LiScF6,"F, Li, Rb, Sc",2.412109375
684024,0.9999789,1,Li2SiN2,"Li, N, Si",0.7421875
7610,0.999964595,1,Li2CaSiO4,"Ca, Li, O, Si",0.673828125
3151,0.999978781,1,Li3TaO4,"Li, O, Ta",0.56640625
777049,0.988035858,1,LiFeBO3,"B, Fe, Li, O",0.546875
16955,0.571996689,1,K2Li3FeO4,"Fe, K, Li, O",0.91796875
17240,0.999710619,1,RbNa3Li12(SiO4)4,"Li, Na, O, Rb, Si",0.5859375
559277,0.966995001,1,SrLiFeF6,"F, Fe, Li, Sr",0.859375
6425,0.988586009,1,Li3In2(PO4)3,"In, Li, O, P",0.712890625
1222810,0.970959902,1,Li2InP2HO8,"H, In, Li, O, P",0.751953125
14232,0.999976158,1,LiBO2,"B, Li, O",0.703125
19511,0.998280883,1,Li5FeO4,"Fe, Li, O",0.615234375
1019606,0.900161922,1,Cs2Li2B2P4O15,"B, Cs, Li, O, P",0.9375
1211093,0.997860253,1,LiCaFeF6,"Ca, F, Fe, Li",1.396484375
1196828,0.991272032,1,NaLiMgPO4F,"F, Li, Mg, Na, O, P",2.216796875
560157,0.962872505,1,LiMgVO4,"Li, Mg, O, V",2.83203125
559240,0.988306224,1,Li2MnSiO4,"Li, Mn, O, Si",0.625
1019708,0.767585874,1,CsBaLiP2O7,"Ba, Cs, Li, O, P",1.46484375
776627,0.552701414,1,Li3FeF6,"F, Fe, Li",0.4296875
8491,0.981573522,1,LiInP2O7,"In, Li, O, P",0.52734375
684817,0.987847328,1,K2LiTa6(PO8)3,"K, Li, O, P, Ta",0.859375
17288,0.99523598,1,Li2ZnSiO4,"Li, O, Si, Zn",0.5859375
1211498,0.999512792,1,KLi3SiO4,"K, Li, O, Si",0.72265625
774752,0.586825728,1,Li2MgTi3O8,"Li, Mg, O, Ti",1.71875
12829,0.989532113,1,LiCaGaF6,"Ca, F, Ga, Li",1.46484375
1078799,0.642703831,1,LiNbF6,"F, Li, Nb",1.005859375
1019778,0.995799839,1,K2Li3B(P2O7)2,"B, K, Li, O, P",1.015625
17774,0.893337727,1,K2Li3GaO4,"Ga, K, Li, O",0.927734375
504849,0.842602432,1,Cs2Li2SiO4,"Cs, Li, O, Si",1.30859375
559904,0.999882102,1,NaLi3SiO4,"Li, Na, O, Si",1.181640625
7205,0.998656273,1,LiInSiO4,"In, Li, O, Si",0.439453125
978840,0.999986768,1,SrLi2(SiN2)2,"Li, N, Si, Sr",1.8359375
1218231,0.999019861,1,SrLiY2(BO3)3,"B, Li, O, Sr, Y",0.87890625
35759,0.997445464,1,Li2NiF4,"F, Li, Ni",0.234375
554203,0.976373911,1,Li4Ga3Si3ClO12,"Cl, Ga, Li, O, Si",0.517578125
18793,0.999941349,1,LiCrO2,"Cr, Li, O",1.2890625
1199091,0.989971638,1,Li3B5(HO5)2,"B, H, Li, O",0.5078125
554917,0.90028888,1,LiSn2(PO4)3,"Li, O, P, Sn",0.6640625
18495,0.690654755,1,SrLi(B3O5)3,"B, Li, O, Sr",0.80078125
26977,0.959576249,1,LiMn2P3O10,"Li, Mn, O, P",0.8984375
6031,0.892070413,1,Li16Nb2N8O,"Li, N, Nb, O",0.927734375
556792,0.999791324,1,LiCaCrF6,"Ca, Cr, F, Li",1.435546875
28450,0.99615556,1,Li4P2O7,"Li, O, P",0.380859375
10517,0.997239113,1,LiScP2O7,"Li, O, P, Sc",0.4296875
1195536,0.951561689,1,CsLi5Mn(P2O7)2,"Cs, Li, Mn, O, P",0.615234375
554324,0.998292387,1,LiCa9Mn(PO4)7,"Ca, Li, Mn, O, P",3.876953125
7638,0.999917746,1,LiTa3O8,"Li, O, Ta",2.34375
560297,0.996582925,1,LiTaSiO5,"Li, O, Si, Ta",0.439453125
1110649,0.850901127,1,Rb2LiYF6,"F, Li, Rb, Y",1.89453125
554108,0.943843544,1,LiRe(OF2)2,"F, Li, O, Re",0.859375
561396,0.969832182,1,Li3CrF6,"Cr, F, Li",0.439453125
1020146,0.979527295,1,Na2LiB5(PO7)2,"B, Li, Na, O, P",0.595703125
1193269,0.997729242,1,Li2SiF6,"F, Li, Si",0.634765625
14712,0.999801934,1,Li7PN4,"Li, N, P",
554164,0.504693687,1,KLiZnP2O7,"K, Li, O, P, Zn",1.2890625
1193222,0.913089812,1,LiMgAlF6,"Al, F, Li, Mg",0.556640625
1019715,0.879308283,1,CsLi(B3O5)2,"B, Cs, Li, O",1.5625
1200250,0.995232642,1,NaLiNiPO4F,"F, Li, Na, Ni, O, P",2.177734375
5001,0.892520189,1,Li3BN2,"B, Li, N",0.595703125
28030,0.999963284,1,Li8Nb2O9,"Li, Nb, O",0.7421875
558310,0.999537468,1,BaLi2SiO4,"Ba, Li, O, Si",1.8359375
1020016,0.999985695,1,Li4Ca2Mg(SiN3)2,"Ca, Li, Mg, N, Si",1.62109375
1211226,0.995525181,1,Li3Y3(TeO6)2,"Li, O, Te, Y",0.556640625
26965,0.993143559,1,Li2CrP2O7,"Cr, Li, O, P",0.25390625
1208770,0.99995923,1,Sr3Li6Nb2O11,"Li, Nb, O, Sr",0.546875
26949,0.940857649,1,LiSn2(PO3)5,"Li, O, P, Sn",0.849609375
6224,0.99993813,1,LiScSiO4,"Li, O, Sc, Si",0.4296875
8449,0.964554846,1,Rb2Li2SiO4,"Li, O, Rb, Si",0.859375
14030,0.995357096,1,Na2LiY(Si2O5)3,"Li, Na, O, Si, Y",1.748046875
1103940,0.869854748,1,Li6PBrO5,"Br, Li, O, P",0.859375
557112,0.99014473,1,Li4Ga3Si3IO12,"Ga, I, Li, O, Si",0.673828125
1020015,0.978942692,1,Li2B3PO8,"B, Li, O, P",0.634765625
31096,0.57967931,1,Li3AlH6,"Al, H, Li",
6844,0.994602084,1,KLi3Si12(SnO15)2,"K, Li, O, Si, Sn",0.771484375
559934,0.962610543,1,LiZnPO4,"Li, O, P, Zn",0.693359375
18147,0.998954654,1,LiGaSiO4,"Ga, Li, O, Si",1.025390625
19017,0.9994784,1,LiFePO4,"Fe, Li, O, P",0.44921875
14871,0.804017663,1,Li16Ta2N8O,"Li, N, O, Ta",0.888671875
1196457,0.9495368,1,Li2B3O4F3,"B, F, Li, O",0.400390625
22417,0.999748766,1,LiNiPO4,"Li, Ni, O, P",0.322265625
561237,0.998874843,1,LiCaBO3,"B, Ca, Li, O",1.982421875
27003,0.997003853,1,Li3Mo2(PO4)3,"Li, Mo, O, P",0.6640625
26005,0.524671197,1,LiMn6P7O24,"Li, Mn, O, P",0.966796875
23648,0.974167943,1,Li4Al3Si3ClO12,"Al, Cl, Li, O, Si",0.48828125
14704,0.998778522,1,Li6Y(BO3)3,"B, Li, O, Y",0.4296875
768820,0.975110531,1,Li3Bi(BO3)2,"B, Bi, Li, O",0.48828125
27231,0.814665556,1,Li2TeO3,"Li, O, Te",0.625
27007,0.997889221,1,LiFe2P3O10,"Fe, Li, O, P",0.91796875
5854,0.999797642,1,LiGaO2,"Ga, Li, O",0.64453125
774749,0.976523578,1,RbNa3Li12Ti4O16,"Li, Na, O, Rb, Ti",0.673828125
643276,0.996410191,1,LiMg2H7Ru,"H, Li, Mg, Ru",
558102,0.986183822,1,KLiSi2O5,"K, Li, O, Si",1.171875
555082,0.893769562,1,CsLi5(BO3)2,"B, Cs, Li, O",0.732421875
16996,0.999816358,1,Li3GaSiO5,"Ga, Li, O, Si",0.263671875
16792,0.999973655,1,Ba4LiTa3O12,"Ba, Li, O, Ta",3.369140625
1020164,0.977465153,1,Na3LiP2O7,"Li, Na, O, P",2.16796875
1019609,0.973187327,1,Cs2Sr2Li3B3(PO4)6,"B, Cs, Li, O, P, Sr",1.6015625
15558,0.739931107,1,Li3GaF6,"F, Ga, Li",0.419921875
554752,0.999831915,1,RbLi7(SiO4)2,"Li, O, Rb, Si",0.546875
6332,0.999202788,1,Li2TiSiO5,"Li, O, Si, Ti",1.025390625
14495,0.999278486,1,Li6ZnO4,"Li, O, Zn",0.37109375
558941,0.999966025,1,LiYSiO4,"Li, O, Si, Y",0.732421875
11189,0.997941196,1,Li2MgSiO4,"Li, Mg, O, Si",0.703125
18220,0.999592602,1,LiAlSiO4,"Al, Li, O, Si",0.908203125
558045,0.999088764,1,NaLi2PO4,"Li, Na, O, P",1.162109375
9625,0.999481738,1,LiMgPO4,"Li, Mg, O, P",0.3515625
557467,0.986383319,1,Li4Ca(BO3)2,"B, Ca, Li, O",0.33203125
1019782,0.978967607,1,K2LiB(PO4)2,"B, K, Li, O, P",1.328125
29195,0.997818828,1,LiPO3,"Li, O, P",0.76171875
1205167,0.997267485,1,Na3LiY3P3CO15F2,"C, F, Li, Na, O, P, Y",4.296875
1110654,0.994278193,1,Rb2LiMoF6,"F, Li, Mo, Rb",2.099609375
1020023,0.999813139,1,Li3AlSiO5,"Al, Li, O, Si",0.29296875
1020014,0.956377506,1,Li3B11O18,"B, Li, O",0.859375
1211621,0.962421238,1,LiZnP2HO7,"H, Li, O, P, Zn",0.99609375
6134,0.982848406,1,LiCaAlF6,"Al, Ca, F, Li",1.455078125
1020109,0.996631563,1,LiMg3P3O11,"Li, Mg, O, P",0.91796875
1020705,0.998153985,1,Rb2Li3B(P2O7)2,"B, Li, O, P, Rb",1.11328125
26001,0.999367535,1,LiNi(PO3)3,"Li, Ni, O, P",1.38671875
9059,0.998834431,1,KLi6TaO6,"K, Li, O, Ta",0.302734375
558267,0.960069358,1,NaLiSiB3HO8,"B, H, Li, Na, O, Si",0.76171875
1020646,0.999024749,1,NaLi2B(PO4)2,"B, Li, Na, O, P",0.80078125
6015,0.999953747,1,LiSiNO,"Li, N, O, Si",0.52734375
6075,0.995565951,1,Ba2Li(BO2)5,"B, Ba, Li, O",1.474609375
6648,0.906811357,1,KLiB4O7,"B, K, Li, O",0.908203125
19373,0.984861374,1,LiVO3,"Li, O, V",1.4453125
16282,0.998261869,1,KNa2Li3Cr2(Si2O5)6,"Cr, K, Li, Na, O, Si",1.611328125
1202461,0.972765565,1,LiCa2Mn2Si5HO15,"Ca, H, Li, Mn, O, Si",2.578125
1222849,0.988584816,1,Li2ScP2HO8,"H, Li, O, P, Sc",0.83984375
1199122,0.999983907,1,Li2Ca(SiN2)2,"Ca, Li, N, Si",1.9140625
556902,0.999504447,1,KLi4NbO5,"K, Li, Nb, O",0.654296875
16283,0.993592918,1,KNa2Li3Fe2(Si2O5)6,"Fe, K, Li, Na, O, Si",1.6015625
1205739,0.999850154,1,Li2SnF6,"F, Li, Sn",0.966796875
557177,0.95851773,1,Li2Al(BO2)5,"Al, B, Li, O",0.5078125
19219,0.956395507,1,Li3VO4,"Li, O, V",0.693359375
553926,0.99885869,1,NaLiB4O7,"B, Li, Na, O",0.771484375
560890,0.998984873,1,Li3ScF6,"F, Li, Sc",0.673828125
540945,0.999334157,1,Na2Li3GaO4,"Ga, Li, Na, O",1.572265625
40575,0.589133382,1,LiNi2P4H3O14,"H, Li, Ni, O, P",0.7421875
31488,0.999941349,1,Li3NbO4,"Li, Nb, O",0.48828125
4527,0.999959111,1,Li8SnO6,"Li, O, Sn",0.625
7020,0.999925852,1,LiYO2,"Li, O, Y",0.37109375
18997,0.922020376,1,LiMnPO4,"Li, Mn, O, P",0.33203125
14023,0.904247582,1,Na3Li3Sc2F12,"F, Li, Na, Sc",0.25390625
694935,0.996532798,1,K3LiMg4(Si2O5)6,"K, Li, Mg, O, Si",3.33984375
1190404,0.99944514,1,Sr3LiNbO6,"Li, Nb, O, Sr",3.4375
532413,0.999973893,1,Li5B7S13,"B, Li, S",0.56640625
22663,0.986744523,1,Rb2LiFeF6,"F, Fe, Li, Rb",1.03515625
641919,0.995994687,1,KLi3Ca7Ti2Si12(O18F)2,"Ca, F, K, Li, O, Si, Ti",1.455078125
1218822,0.967167795,1,Sr2LiB10H3O19,"B, H, Li, O, Sr",1.787109375
1209478,0.860237777,1,Rb2Li3GaO4,"Ga, Li, O, Rb",0.888671875
18968,0.995159566,1,Li2FeSiO4,"Fe, Li, O, Si",0.673828125
1211020,0.996056437,1,LiGa(PO3)4,"Ga, Li, O, P",0.60546875
1211546,0.712247193,1,KLi3TiO4,"K, Li, O, Ti",0.703125
504354,0.981351435,1,LiBi(PO3)4,"Bi, Li, O, P",1.083984375
1208634,0.941552758,1,SrLiCrF6,"Cr, F, Li, Sr",1.26953125
